Program,Federal FY,Subawardee UEI,Distinct Subaward Numbers,Subawardee Vendor Name,Parent Key,Capability Domain (D),Primary Output (P),Net Subaward $M,Positive Supplier $M,Reports,Prior-Year Active,Earlier-Year Active,Activity Status,Active FYs
DDG,2022,C18KXNHETC95,1,,,,,,,,,,,
DDG,2024,C18KXNHETC95,1,,,,,,,,,,,
DDG,2016,C1B6X8AADFB1,4,,,,,,,,,,,
DDG,2018,C1B6X8AADFB1,1,,,,,,,,,,,
DDG,2019,C1B6X8AADFB1,1,,,,,,,,,,,
DDG,2020,C1B6X8AADFB1,1,,,,,,,,,,,
DDG,2021,C1B6X8AADFB1,2,,,,,,,,,,,
DDG,2022,C1B6X8AADFB1,2,,,,,,,,,,,
DDG,2023,C1B6X8AADFB1,1,,,,,,,,,,,
DDG,2025,C1B6X8AADFB1,3,,,,,,,,,,,
DDG,2023,C1NAJQ34VWM5,1,,,,,,,,,,,
DDG,2025,C1NAJQ34VWM5,4,,,,,,,,,,,
DDG,2024,C4C1WKKFJ8H5,1,,,,,,,,,,,
DDG,2025,C4C1WKKFJ8H5,5,,,,,,,,,,,
DDG,2026,C4C1WKKFJ8H5,1,,,,,,,,,,,
DDG,2013,C6C8KS7Y1K76,1,,,,,,,,,,,
DDG,2014,C6C8KS7Y1K76,1,,,,,,,,,,,
DDG,2015,C6C8KS7Y1K76,2,,,,,,,,,,,
DDG,2016,C6C8KS7Y1K76,3,,,,,,,,,,,
DDG,2017,C6C8KS7Y1K76,5,,,,,,,,,,,
DDG,2018,C6C8KS7Y1K76,2,,,,,,,,,,,
DDG,2019,C6C8KS7Y1K76,3,,,,,,,,,,,
DDG,2020,C6C8KS7Y1K76,2,,,,,,,,,,,
DDG,2021,C6C8KS7Y1K76,3,,,,,,,,,,,
DDG,2023,C6C8KS7Y1K76,3,,,,,,,,,,,
DDG,2021,C7QHHMJEALN1,1,,,,,,,,,,,
DDG,2022,C7QHHMJEALN1,1,,,,,,,,,,,
DDG,2023,C7QXDAE2EUN1,1,,,,,,,,,,,
DDG,2017,C7RWMXEE6SD3,1,,,,,,,,,,,
DDG,2015,CAKCE9S4WL78,1,,,,,,,,,,,
DDG,2016,CAKCE9S4WL78,2,,,,,,,,,,,
DDG,2017,CAKCE9S4WL78,3,,,,,,,,,,,
DDG,2018,CAKCE9S4WL78,1,,,,,,,,,,,
DDG,2019,CAKCE9S4WL78,2,,,,,,,,,,,
DDG,2020,CAKCE9S4WL78,3,,,,,,,,,,,
DDG,2021,CAKCE9S4WL78,5,,,,,,,,,,,
DDG,2022,CAKCE9S4WL78,1,,,,,,,,,,,
DDG,2023,CAKCE9S4WL78,7,,,,,,,,,,,
DDG,2024,CAKCE9S4WL78,2,,,,,,,,,,,
DDG,2026,CAKCE9S4WL78,1,,,,,,,,,,,
DDG,2018,CBMZJ3Z5SC89,1,,,,,,,,,,,
DDG,2021,CBMZJ3Z5SC89,3,,,,,,,,,,,
DDG,2022,CBMZJ3Z5SC89,1,,,,,,,,,,,
DDG,2023,CBMZJ3Z5SC89,7,,,,,,,,,,,
DDG,2024,CBMZJ3Z5SC89,1,,,,,,,,,,,
DDG,2025,CBMZJ3Z5SC89,5,,,,,,,,,,,
DDG,2026,CBMZJ3Z5SC89,2,,,,,,,,,,,
DDG,2016,CFXRGJSB9UB6,2,,,,,,,,,,,
DDG,2017,CFXRGJSB9UB6,1,,,,,,,,,,,
DDG,2018,CFXRGJSB9UB6,3,,,,,,,,,,,
DDG,2019,CFXRGJSB9UB6,7,,,,,,,,,,,
DDG,2021,CFXRGJSB9UB6,1,,,,,,,,,,,
DDG,2016,CJ8CQLEM2RW3,1,,,,,,,,,,,
DDG,2017,CJ8CQLEM2RW3,1,,,,,,,,,,,
DDG,2018,CJ8CQLEM2RW3,1,,,,,,,,,,,
DDG,2019,CJ8CQLEM2RW3,1,,,,,,,,,,,
DDG,2021,CJ8CQLEM2RW3,1,,,,,,,,,,,
DDG,2025,CJ8CQLEM2RW3,1,,,,,,,,,,,
DDG,2014,CJF6S4UR1LM8,3,,,,,,,,,,,
DDG,2015,CJF6S4UR1LM8,2,,,,,,,,,,,
DDG,2017,CJF6S4UR1LM8,1,,,,,,,,,,,
DDG,2018,CJF6S4UR1LM8,1,,,,,,,,,,,
DDG,2019,CJF6S4UR1LM8,3,,,,,,,,,,,
DDG,2020,CJF6S4UR1LM8,2,,,,,,,,,,,
DDG,2021,CJF6S4UR1LM8,1,,,,,,,,,,,
DDG,2016,CQQUMMDARBG3,2,,,,,,,,,,,
DDG,2017,CQQUMMDARBG3,1,,,,,,,,,,,
DDG,2022,CQQUMMDARBG3,1,,,,,,,,,,,
DDG,2023,CR99X5Q2KQS1,2,,,,,,,,,,,
DDG,2016,CVMQHCRDBVT7,1,,,,,,,,,,,
DDG,2017,CVMQHCRDBVT7,1,,,,,,,,,,,
DDG,2013,CW48SQ7KJX68,1,,,,,,,,,,,
DDG,2024,CWM4UN76ZQW8,1,,,,,,,,,,,
DDG,2025,CWM4UN76ZQW8,2,,,,,,,,,,,
DDG,2013,CXZ9PUEZ5SQ7,1,,,,,,,,,,,
DDG,2014,CXZ9PUEZ5SQ7,2,,,,,,,,,,,
DDG,2015,CXZ9PUEZ5SQ7,2,,,,,,,,,,,
DDG,2016,CXZ9PUEZ5SQ7,2,,,,,,,,,,,
DDG,2026,CXZ9PUEZ5SQ7,1,,,,,,,,,,,
DDG,2016,CYJ3L6SQANB4,2,,,,,,,,,,,
DDG,2017,CYJ3L6SQANB4,1,,,,,,,,,,,
DDG,2018,CYJ3L6SQANB4,1,,,,,,,,,,,
DDG,2023,CZKYJKB7H9J7,1,,,,,,,,,,,
DDG,2013,D28HQ4AA2ZL8,1,,,,,,,,,,,
DDG,2014,D28HQ4AA2ZL8,1,,,,,,,,,,,
DDG,2015,D28HQ4AA2ZL8,2,,,,,,,,,,,
DDG,2016,D28HQ4AA2ZL8,1,,,,,,,,,,,
DDG,2013,D2J1SSHB5EB7,3,,,,,,,,,,,
DDG,2014,D2J1SSHB5EB7,1,,,,,,,,,,,
DDG,2015,D2J1SSHB5EB7,6,,,,,,,,,,,
DDG,2016,D2J1SSHB5EB7,2,,,,,,,,,,,
DDG,2018,D2J1SSHB5EB7,1,,,,,,,,,,,
DDG,2019,D2J1SSHB5EB7,3,,,,,,,,,,,
DDG,2020,D2J1SSHB5EB7,1,,,,,,,,,,,
